Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0034441004163519,1.96778293617675E-09,0.0218837141013744,0,0,0,0.237250906812733,5.16950099073705E-05,-1.31868058101076E-11,-5.23518630543773E-07,7.23717396600268E-05,1.59372604443091E-12,5.50616207522159E-05,0,0,0,0,0,0,package://link-assem-9/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://link-assem-9/meshes/base_link.STL,,hip-as-link-assem-1,Coordinate System25,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
chest,0.00135167557331825,2.31389698435412E-10,0.0897929226002137,0,0,0,0.233127842278059,0.00093690036304243,-8.82119595166766E-13,-1.65980743642735E-05,0.000479825684350002,1.19333990139649E-11,0.000507359730958421,0,0,0,0,0,0,package://link-assem-9/meshes/chest.STL,1,1,1,1,0,0,0,0,0,0,package://link-assem-9/meshes/chest.STL,,chest-1,Origin_chest-yaw,Axis_chest-yaw,chest-yaw,revolute,0,0,0.0484,0,0,0,base_link,0,0,1,4,4,-1.5,1.5,,,,,,,,
r-hip,0.000190024775223874,-0.0495637486274614,-0.00934399160182752,0,0,0,0.0791837053075434,2.06387254680631E-05,2.17092430682936E-08,-7.29403398808404E-09,1.59137402547795E-05,-4.81494985883319E-08,1.73100151466543E-05,0,0,0,0,0,0,package://link-assem-9/meshes/r-hip.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://link-assem-9/meshes/r-hip.STL,,connector-as-link-assem-1,Origin_r-hip-roll,Axis_r-hip-roll,r-hip-roll,revolute,0,-0.028821,0.03,0,0,0,base_link,1,0,0,4,4,-1.5,1.5,,,,,,,,
r-top-thigh,0.000445812258705942,-0.0290000576187259,-0.0106159904309816,0,0,0,0.00947165965448311,4.57200060436464E-06,-3.81239780286315E-12,2.11351498581952E-08,1.6006403920872E-06,-2.74134587890916E-12,5.11015775864877E-06,0,0,0,0,0,0,package://link-assem-9/meshes/r-top-thigh.STL,1,1,1,1,0,0,0,0,0,0,package://link-assem-9/meshes/r-top-thigh.STL,,top-1,Origin_r-top-thigh-pitch,Axis_r-top-thigh-pitch,r-top-thigh-pitch,revolute,0.0002,-0.0237,-0.02,0,0,0,r-hip,0,1,0,4,4,-1.5,1.5,,,,,,,,
r-bottom-thigh,0.000773627526293806,-0.00364717170628413,-0.0895721927977485,0,0,0,0.190813827342818,0.000132584004173505,-3.70190497082405E-10,-4.35964353977653E-06,0.000116773314902949,-6.68209243652627E-09,4.91244169775918E-05,0,0,0,0,0,0,package://link-assem-9/meshes/r-bottom-thigh.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://link-assem-9/meshes/r-bottom-thigh.STL,,bottom-as-link-assem-1,Origin_r-bottom-thigh-yaw,Axis_r-bottom-thigh-yaw,r-bottom-thigh-yaw,revolute,0.00042378,-0.029,-0.01687,0,0,0,r-top-thigh,0,0,1,4,4,-1.5,1.5,,,,,,,,
r-calf,-0.00141273141447035,0.000145008546621375,-0.105463468166544,0,0,0,0.108408566618086,6.92118658157954E-05,-4.83878797136032E-10,7.94450005334356E-07,5.58171249083921E-05,-3.37721210447501E-08,2.84341367016219E-05,0,0,0,0,0,0,package://link-assem-9/meshes/r-calf.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://link-assem-9/meshes/r-calf.STL,,calf-as-link-assem-1,Origin_r-calf-pitch,Axis_r-calf-pitch,r-calf-pitch,revolute,-0.00038716,0,-0.17027,0,0,0,r-bottom-thigh,0,1,0,4,4,-1.5,1.5,,,,,,,,
r-foot,0.0138820331334254,-5.21234747030697E-09,-0.0298192855188085,0,0,0,0.0415129691156554,2.12378848438927E-05,1.31021153949287E-11,4.91742304987885E-06,3.66208915279162E-05,-1.53579685832343E-12,4.16734390030259E-05,0,0,0,0,0,0,package://link-assem-9/meshes/r-foot.STL,1,1,1,1,0,0,0,0,0,0,package://link-assem-9/meshes/r-foot.STL,,foot-1,Origin_r-foot-pitch,Axis_r-foot-pitch,r-foot-pitch,revolute,0.00011939,0,-0.13771,0,0,0,r-calf,0,1,0,4,4,-1.5,1.5,,,,,,,,
l-hip,0.000190024336073364,0.0495637485533545,-0.00934399507163446,0,0,0,0.0791837056110943,2.0638739070147E-05,-2.1709133013792E-08,-7.31038850748615E-09,1.59137534074891E-05,4.81489956863052E-08,1.73100146978694E-05,0,0,0,0,0,0,package://link-assem-9/meshes/l-hip.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://link-assem-9/meshes/l-hip.STL,,Mirror__connector-as-link-assem-2,Origin_l-hip-roll,Axis_l-hip-roll,l-hip-roll,revolute,0,0.028821,0.03,0,0,0,base_link,-1,0,0,4,4,-1.5,1.5,,,,,,,,
l-top-thigh,0.000445804758728803,0.0290001237858815,-0.0106160244579593,0,0,0,0.00947160337263152,4.57196750403069E-06,5.67719759156287E-12,2.1134485541151E-08,1.60062750633552E-06,-3.49536380622118E-12,5.11013171011067E-06,0,0,0,0,0,0,package://link-assem-9/meshes/l-top-thigh.STL,1,1,1,1,0,0,0,0,0,0,package://link-assem-9/meshes/l-top-thigh.STL,,Mirror__top-2,Origin_l-top-thigh-pitch,Axis_l-top-thigh-pitch,l-top-thigh-pitch,revolute,0.0002,0.0237,-0.02,0,0,0,l-hip,0,-1,0,4,4,-1.5,1.5,,,,,,,,
l-bottom-thigh,0.00077362404358223,0.00364717146470198,-0.0895722109287836,0,0,0,0.190813807134144,0.000132584087343989,3.7333453830747E-10,-4.3596331911738E-06,0.000116773404488362,6.69333347962462E-09,4.91244082881182E-05,0,0,0,0,0,0,package://link-assem-9/meshes/l-bottom-thigh.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://link-assem-9/meshes/l-bottom-thigh.STL,,Mirror__bottom-as-link-assem-2,Origin_l-bottom-thigh-yaw,Axis_l-bottom-thigh-yaw,l-bottom-thigh-yaw,revolute,0.00042378,0.029,-0.01687,0,0,0,l-top-thigh,0,0,1,4,4,-1.5,1.5,,,,,,,,
